Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
smart agent 12, room node 11, -7.00, 8.33, 0.00
smart agent 2, room node 4, -1.19, -6.09, 0.00
smart agent 8, room node 3, 1.22, -1.66, 0.00
smart agent 7, room node 2, 1.43, 6.73, 0.00
smart agent 9, module node 7, -4.00, 2.33, 2.22
smart agent 10, module node 10, -13.00, 2.33, 2.24
smart agent 5, module node 4, 13.00, 2.33, 2.30
smart agent 7, module node 1, 4.00, 2.33, 2.42
smart agent 4, module node 4, 13.00, 2.33, 2.82
smart agent 9, module node 9, -7.00, 2.33, 3.14
smart agent 10, module node 12, -16.00, 2.33, 3.20
smart agent 3, module node 4, 13.00, 2.33, 3.62
smart agent 1, module node 7, -4.00, 2.33, 3.80
smart agent 4, module node 5, 16.00, 2.33, 3.84
smart agent 9, module node 8, -10.00, 2.33, 4.02
smart agent 1, module node 9, -7.00, 2.33, 4.66
smart agent 9, module node 10, -13.00, 2.33, 4.94
smart agent 1, module node 8, -10.00, 2.33, 5.54
